date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:27	5853/5853	---M-Z	200	added ('OK')	text/css	etag:%22ca4d5ec5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-IIC-R/css/style.css	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-IIC-R/css/style.css	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-IIC-R/index.html)
13:30:28	15253/15253	---M-Z	200	added ('OK')	application/javascript	etag:%22f5f96dc5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-IIC-R/js/modernizr.js	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-IIC-R/js/modernizr.js	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-IIC-R/index.html)
13:30:30	959242/959242	---M--	200	added ('OK')	image/png	etag:%2229f463c5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-IIC-R/img/img-loading.png	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-IIC-R/img/img-loading.png	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-IIC-R/index.html)
13:30:30	84349/84349	---M-Z	200	added ('OK')	application/javascript	etag:%22814b6cc5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-IIC-R/js/jquery-2.1.4.js	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-IIC-R/js/jquery-2.1.4.js	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-IIC-R/index.html)
13:30:31	7786/7786	---M-Z	200	added ('OK')	application/javascript	etag:%2294e86cc5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-IIC-R/js/jquery.mobile.custom.min.js	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-IIC-R/js/jquery.mobile.custom.min.js	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-IIC-R/index.html)
13:30:32	7156/7156	---M-Z	200	added ('OK')	application/javascript	etag:%22e4ab6dc5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-IIC-R/js/main.js	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-IIC-R/js/main.js	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-IIC-R/index.html)
13:30:32	640/640	---M--	200	added ('OK')	image/svg+xml	etag:%22c85fa8c5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniH/img/cd-arrows.svg	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniH/img/cd-arrows.svg	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniH/css/style.css)
13:30:33	1145/1145	---M-Z	200	added ('OK')	text/css	etag:%2222a5b5c5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/css/reset.css	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/css/reset.css	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/index.html)
13:30:34	5853/5853	---M-Z	200	added ('OK')	text/css	etag:%22f916b6c5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/css/style.css	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/css/style.css	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/index.html)
13:30:35	15253/15253	---M-Z	200	added ('OK')	application/javascript	etag:%2273acd0c5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/js/modernizr.js	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/js/modernizr.js	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/index.html)
13:30:37	84349/84349	---M-Z	200	added ('OK')	application/javascript	etag:%22221cdc5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/js/jquery-2.1.4.js	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/js/jquery-2.1.4.js	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/index.html)
13:30:38	1606546/1606546	---M--	200	added ('OK')	image/jpeg	etag:%22487dcac5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/img/img-sprite.jpg	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/img/img-sprite.jpg	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/index.html)
13:30:38	7786/7786	---M-Z	200	added ('OK')	application/javascript	etag:%223520cec5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/js/jquery.mobile.custom.min.js	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/js/jquery.mobile.custom.min.js	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/index.html)
13:30:39	1570987/1570987	---M--	200	added ('OK')	image/jpeg	etag:%227826ac5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-IIC-R/img/img-sprite.jpg	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-IIC-R/img/img-sprite.jpg	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-IIC-R/index.html)
13:30:39	7156/7156	---M-Z	200	added ('OK')	application/javascript	etag:%22584fd0c5943d81:0%22	https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/js/main.js	C:/Users/dell/Downloads/hanston_work/www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/js/main.js	(from https://www.hansaton.at/SonovaIframe/geers.de/Trageformuebersicht/modelle/modell-MiniR/index.html)
